Year,Country,1990M,1990F,1995M,1995F,2000M,2000F,2005M,2005F,2010M,2010F,2015M,2015F,2019M,2019F
1990,San Marino,1728,1582,1940,1719,2175,1870,2302,1916,2761,2119,2867,2328,2936,2571
1990,Serbia,46712,52557,390134,480846,437602,540271,383088,471760,364757,461518,355180,452261,361216,459096
1990,Slovenia,89514,88563,90255,84164,114772,99736,116741,100477,141285,112501,134460,103156,142626,110496
1990,Spain,390448,431157,499114,520953,838058,819227,2140680,1966546,3238238,3041827,2884000,3007208,2913747,3190456
1990,Austria,368287,424952,423302,471591,478318,518229,543618,592652,608918,667074,716470,775904,873536,906321
1990,Belgium,654543,626040,651788,636215,636275,632093,620924,627809,726881,776925,869989,913499,979191,1002728
1990,France,2999376,2897891,3046083,3041910,3092789,3185929,3300859,3436741,3554527,3755459,3806413,4067759,4019290,4315585
1990,Germany,3293128,2643053,3898397,3566009,4503666,4488965,4676178,4726269,4848689,4963574,5037961,5182457,6881990,6250156
1990,Liechtenstein,5956,4950,7068,6243,7980,7503,9434,9464,10867,11475,11605,12194,12406,13061
1990,Luxembourg,56062,57733,62292,63814,69286,70464,74951,75667,81420,81722,126129,122759,148670,143053
1990,Monaco,9471,10888,9955,11105,10458,11329,10322,10990,10325,10807,12599,13384,12851,13660
1990,Netherlands,592343,589920,668236,677928,765302,791035,843444,892683,881264,951246,952313,1044005,1103004,1179787
1990,Switzerland,701110,691172,769043,709786,841855,728901,922387,883050,1005381,1069801,1183243,1233151,1265343,1306686
1990,Bermuda,7557,8126,8044,8632,8531,9137,8866,9410,9202,9682,9336,9790,9439,9897
1990,Canada,2109652,2223666,2356105,2508673,2659135,2852779,2915838,3163147,3236539,3524687,3533164,3895493,3786190,4174467
1990,Greenland,6472,2810,4875,2246,4616,1985,4461,2095,4119,1972,3812,1985,3742,1948
1990,Saint Pierre and Miquelon,560,539,682,638,756,702,597,550,531,486,516,470,519,471
1990,United States of America,11372985,11878041,14032159,14418894,17310785,17503268,19614878,19643415,21694169,22489474,23446873,24732004,24488382,26172767
